# country	date	holiday
BR	2031-09-07	holiday
BR	2031-10-12	holiday
BR	2031-11-02	holiday
BR	2031-11-15	holiday
BR	2031-12-25	holiday
BR	2032-01-01	holiday
BR	2032-03-26	holiday
BR	2032-04-21	holiday
BR	2032-05-01	holiday
BR	2032-09-07	holiday
BR	2032-10-12	holiday
BR	2032-11-02	holiday
BR	2032-11-15	holiday
BR	2032-12-25	holiday
BR	2033-01-01	holiday
BR	2033-04-15	holiday
BR	2033-04-21	holiday
BR	2033-05-01	holiday
BR	2033-09-07	holiday
BR	2033-10-12	holiday
BR	2033-11-02	holiday
BR	2033-11-15	holiday
BR	2033-12-25	holiday
BR	2034-01-01	holiday
BR	2034-04-07	holiday
BR	2034-04-21	holiday
BR	2034-05-01	holiday
BR	2034-09-07	holiday
BR	2034-10-12	holiday
BR	2034-11-02	holiday
BR	2034-11-15	holiday
BR	2034-12-25	holiday
BR	2035-01-01	holiday
BR	2035-03-23	holiday
BR	2035-04-21	holiday
BR	2035-05-01	holiday
BR	2035-09-07	holiday
BR	2035-10-12	holiday
BR	2035-11-02	holiday
BR	2035-11-15	holiday
BR	2035-12-25	holiday
CA	2019-01-01	holiday
CA	2019-04-19	holiday
CA	2019-05-20	holiday
CA	2019-07-01	holiday
CA	2019-09-02	holiday
CA	2019-10-14	holiday
CA	2019-11-11	holiday
CA	2019-12-25	holiday
CA	2019-12-26	holiday
CA	2020-01-01	holiday
CA	2020-04-10	holiday
CA	2020-05-25	holiday
CA	2020-07-01	holiday
CA	2020-09-07	holiday
CA	2020-10-12	holiday
CA	2020-11-11	holiday
CA	2020-12-25	holiday
CA	2020-12-26	holiday
CA	2021-01-01	holiday
CA	2021-04-02	holiday
CA	2021-05-24	holiday
CA	2021-07-01	holiday
CA	2021-09-06	holiday
CA	2021-10-11	holiday
CA	2021-11-11	holiday
CA	2021-12-25	holiday
CA	2021-12-26	holiday
CA	2022-01-01	holiday
CA	2022-04-15	holiday
CA	2022-05-23	holiday
CA	2022-07-01	holiday
CA	2022-09-05	holiday
CA	2022-10-10	holiday
CA	2022-11-11	holiday
CA	2022-12-25	holiday
CA	2022-12-26	holiday
CA	2023-01-01	holiday
CA	2023-04-07	holiday
CA	2023-05-22	holiday
CA	2023-07-01	holiday
CA	2023-09-04	holiday
CA	2023-10-09	holiday
CA	2023-11-11	holiday
CA	2023-12-25	holiday
CA	2023-12-26	holiday
CA	2024-01-01	holiday
CA	2024-03-29	holiday
CA	2024-05-20	holiday
CA	2024-07-01	holiday
CA	2024-09-02	holiday
CA	2024-10-14	holiday
CA	2024-11-11	holiday
CA	2024-12-25	holiday
CA	2024-12-26	holiday
CA	2025-01-01	holiday
CA	2025-04-18	holiday
CA	2025-05-19	holiday
CA	2025-07-01	holiday
CA	2025-09-01	holiday
CA	2025-10-13	holiday
CA	2025-11-11	holiday
CA	2025-12-25	holiday
CA	2025-12-26	holiday
CA	2026-01-01	holiday
CA	2026-04-03	holiday
CA	2026-05-25	holiday
CA	2026-07-01	holiday
CA	2026-09-07	holiday
CA	2026-10-12	holiday
CA	2026-11-11	holiday
CA	2026-12-25	holiday
CA	2026-12-26	holiday
CA	2027-01-01	holiday
CA	2027-03-26	holiday
CA	2027-05-24	holiday
CA	2027-07-01	holiday
CA	2027-09-06	holiday
CA	2027-10-11	holiday
CA	2027-11-11	holiday
CA	2027-12-25	holiday
CA	2027-12-26	holiday
CA	2028-01-01	holiday
CA	2028-04-14	holiday
CA	2028-05-22	holiday
CA	2028-07-01	holiday
CA	2028-09-04	holiday
CA	2028-10-09	holiday
CA	2028-11-11	holiday
CA	2028-12-25	holiday
CA	2028-12-26	holiday
CA	2029-01-01	holiday
CA	2029-03-30	holiday
CA	2029-05-21	holiday
CA	2029-07-01	holiday
CA	2029-09-03	holiday
CA	2029-10-08	holiday
CA	2029-11-11	holiday
CA	2029-12-25	holiday
CA	2029-12-26	holiday
CA	2030-01-01	holiday
CA	2030-04-19	holiday
CA	2030-05-20	holiday
CA	2030-07-01	holiday
CA	2030-09-02	holiday
CA	2030-10-14	holiday
CA	2030-11-11	holiday
CA	2030-12-25	holiday
CA	2030-12-26	holiday
CA	2031-01-01	holiday
CA	2031-04-11	holiday
CA	2031-05-19	holiday
CA	2031-07-01	holiday
CA	2031-09-01	holiday
CA	2031-10-13	holiday
CA	2031-11-11	holiday
CA	2031-12-25	holiday
CA	2031-12-26	holiday
CA	2032-01-01	holiday
CA	2032-03-26	holiday
CA	2032-05-24	holiday
CA	2032-07-01	holiday
CA	2032-09-06	holiday
CA	2032-10-11	holiday
CA	2032-11-11	holiday
CA	2032-12-25	holiday
CA	2032-12-26	holiday
CA	2033-01-01	holiday
CA	2033-04-15	holiday
CA	2033-05-23	holiday
CA	2033-07-01	holiday
CA	2033-09-05	holiday
CA	2033-10-10	holiday
CA	2033-11-11	holiday
CA	2033-12-25	holiday
CA	2033-12-26	holiday
CA	2034-01-01	holiday
CA	2034-04-07	holiday
CA	2034-05-22	holiday
CA	2034-07-01	holiday
CA	2034-09-04	holiday
CA	2034-10-09	holiday
CA	2034-11-11	holiday
CA	2034-12-25	holiday
CA	2034-12-26	holiday
CA	2035-01-01	holiday
CA	2035-03-23	holiday
CA	2035-05-21	holiday
CA	2035-07-01	holiday
CA	2035-09-03	holiday
CA	2035-10-08	holiday
CA	2035-11-11	holiday
CA	2035-12-25	holiday
CA	2035-12-26	holiday
CH	2019-01-01	holiday
CH	2019-05-30	holiday
CH	2019-08-01	holiday
CH	2019-12-25	holiday
CH	2020-01-01	holiday
CH	2020-05-21	holiday
CH	2020-08-01	holiday
CH	2020-12-25	holiday
CH	2021-01-01	holiday
CH	2021-05-13	holiday
CH	2021-08-01	holiday
CH	2021-12-25	holiday
CH	2022-01-01	holiday
CH	2022-05-26	holiday
CH	2022-08-01	holiday
CH	2022-12-25	holiday
CH	2023-01-01	holiday
CH	2023-05-18	holiday
CH	2023-08-01	holiday
CH	2023-12-25	holiday
CH	2024-01-01	holiday
CH	2024-05-09	holiday
CH	2024-08-01	holiday
CH	2024-12-25	holiday
CH	2025-01-01	holiday
CH	2025-05-29	holiday
CH	2025-08-01	holiday
CH	2025-12-25	holiday
CH	2026-01-01	holiday
CH	2026-05-14	holiday
CH	2026-08-01	holiday
CH	2026-12-25	holiday
CH	2027-01-01	holiday
CH	2027-05-06	holiday
CH	2027-08-01	holiday
CH	2027-12-25	holiday
CH	2028-01-01	holiday
CH	2028-05-25	holiday
CH	2028-08-01	holiday
CH	2028-12-25	holiday
CH	2029-01-01	holiday
CH	2029-05-10	holiday
CH	2029-08-01	holiday
CH	2029-12-25	holiday
CH	2030-01-01	holiday
CH	2030-05-30	holiday
CH	2030-08-01	holiday
CH	2030-12-25	holiday
CH	2031-01-01	holiday
CH	2031-05-22	holiday
CH	2031-08-01	holiday
CH	2031-12-25	holiday
CH	2032-01-01	holiday
CH	2032-05-06	holiday
CH	2032-08-01	holiday
CH	2032-12-25	holiday
CH	2033-01-01	holiday
CH	2033-05-26	holiday
CH	2033-08-01	holiday
CH	2033-12-25	holiday
CH	2034-01-01	holiday
CH	2034-05-18	holiday
CH	2034-08-01	holiday
CH	2034-12-25	holiday
CH	2035-01-01	holiday
CH	2035-05-03	holiday
CH	2035-08-01	holiday
CH	2035-12-25	holiday
CN	2019-01-01	holiday
CN	2019-05-01	holiday
CN	2019-05-02	holiday
CN	2019-05-03	holiday
CN	2019-10-01	holiday
CN	2019-10-02	holiday
CN	2019-10-03	holiday
CN	2019-10-04	holiday
CN	2019-10-05	holiday
CN	2019-10-06	holiday
CN	2019-10-07	holiday
CN	2020-01-01	holiday
CN	2020-05-01	holiday
CN	2020-05-02	holiday
CN	2020-05-03	holiday
CN	2020-10-01	holiday
CN	2020-10-02	holiday
CN	2020-10-03	holiday
CN	2020-10-04	holiday
CN	2020-10-05	holiday
CN	2020-10-06	holiday
CN	2020-10-07	holiday
CN	2021-01-01	holiday
CN	2021-05-01	holiday
CN	2021-05-02	holiday
CN	2021-05-03	holiday
CN	2021-10-01	holiday
CN	2021-10-02	holiday
CN	2021-10-03	holiday
CN	2021-10-04	holiday
CN	2021-10-05	holiday
CN	2021-10-06	holiday
CN	2021-10-07	holiday
CN	2022-01-01	holiday
CN	2022-05-01	holiday
CN	2022-05-02	holiday
CN	2022-05-03	holiday
CN	2022-10-01	holiday
CN	2022-10-02	holiday
CN	2022-10-03	holiday
CN	2022-10-04	holiday
CN	2022-10-05	holiday
CN	2022-10-06	holiday
CN	2022-10-07	holiday
CN	2023-01-01	holiday
CN	2023-05-01	holiday
CN	2023-05-02	holiday
CN	2023-05-03	holiday
CN	2023-10-01	holiday
CN	2023-10-02	holiday
CN	2023-10-03	holiday
CN	2023-10-04	holiday
CN	2023-10-05	holiday
CN	2023-10-06	holiday
CN	2023-10-07	holiday
CN	2024-01-01	holiday
CN	2024-05-01	holiday
CN	2024-05-02	holiday
CN	2024-05-03	holiday
CN	2024-10-01	holiday
CN	2024-10-02	holiday
CN	2024-10-03	holiday
CN	2024-10-04	holiday
CN	2024-10-05	holiday
CN	2024-10-06	holiday
CN	2024-10-07	holiday
CN	2025-01-01	holiday
CN	2025-05-01	holiday
CN	2025-05-02	holiday
CN	2025-05-03	holiday
CN	2025-10-01	holiday
CN	2025-10-02	holiday
CN	2025-10-03	holiday
CN	2025-10-04	holiday
CN	2025-10-05	holiday
CN	2025-10-06	holiday
CN	2025-10-07	holiday
CN	2026-01-01	holiday
CN	2026-05-01	holiday
CN	2026-05-02	holiday
CN	2026-05-03	holiday
CN	2026-10-01	holiday
CN	2026-10-02	holiday
CN	2026-10-03	holiday
CN	2026-10-04	holiday
CN	2026-10-05	holiday
CN	2026-10-06	holiday
CN	2026-10-07	holiday
CN	2027-01-01	holiday
CN	2027-05-01	holiday
CN	2027-05-02	holiday
CN	2027-05-03	holiday
CN	2027-10-01	holiday
CN	2027-10-02	holiday
CN	2027-10-03	holiday
CN	2027-10-04	holiday
CN	2027-10-05	holiday
CN	2027-10-06	holiday
CN	2027-10-07	holiday
CN	2028-01-01	holiday
CN	2028-05-01	holiday
CN	2028-05-02	holiday
CN	2028-05-03	holiday
CN	2028-10-01	holiday
CN	2028-10-02	holiday
CN	2028-10-03	holiday
CN	2028-10-04	holiday
CN	2028-10-05	holiday
CN	2028-10-06	holiday
CN	2028-10-07	holiday
CN	2029-01-01	holiday
CN	2029-05-01	holiday
